,commentor,comment
71,Prabir Sarkar,"Sir, u r really a great teacher. I have been following ur Python course. It's amazing. Thanks you for all your efforts. 
I have one request, if possible please launch a course on fullstack Golang course. One more query, nowadays, every companies are looking resources for Python and Java, so what is the future of C & C++. Thanks  and Happy Teacher's Day"
72,Manish Negi,"Happy teachers day to the person who transforms the life of the student not only a teacher motivator, guide and will help you in your journey"
73,DIKSHA BUNDELA,Sir your way of teaching is different and it helps a lot. Plzz. Provide java course as well... It'll be really helpful!!
74,UG THE SEP,"Happy teacher day sir you are a life changer for me in the programming world.

Thank you for everything you give us sir"
75,asif faizi,"I am also your student of web development with python , you are amazing teacher sir i have learnt lots of things to you"
76,Aman Verma,Hello I am aditya I joined your course recently And it was amazing and I proudly says that you do more than the committement for all of us
77,Ankur Singer,"Video title should be "" The best programming course in the world "".......love u sir  happy teacher's day sir in advance you are my idol....role model of my life...."
78,ajay kumar,"I have found you india,s best teacher for coding and most happily in hindi ...thank you sir ..."
79,Radhika Kataria,"This man is ""The man of his words"" ...i am the student of his bootcamp course...nd whatever sir commited..it is actually happenning...Thanku so much siru r an inspiration"
80,MD ALAM,I feel that you are not only a good teacher but also a good man.Sir G
81,VINAY KUMAR,"Sir I did enroll c,c++,DSA  with sourabh Shukla sir , sir your teaching 
Techniques is good like you sir ️️"
82,Sanket Padul,"Sir, Can you please make video on admission process of this course
Means after payment what can I do?? 
Where to send SS etc. 
Thank you"
83,shivansh,"Guys we are lucky to have such a teacher who guides us and teaches us without any greed for profit.
I am a big fan of yours."
84,Ashutosh Pandey,Dear Shukla Sir let us know about the concept of LCG in detail. Please make a separate video including its program.
85,Harsh Yadav,"Hello Sir,
Harsh Here, I am currently in my 3rd year of Bsc physical science with computer science course (3 year programme course), University of Delhi.
I have already started preparing for gate cse 2023, nptel lectures and your vidios ....but Now someone is saying that u should atleast have a 4 year undergrad like btech & b.e to appear in this examination. 
I am very confused now and also on official circular of iit , it's not clear mentioned but there is a section stating bsc/ba/bcom can appear in their 3rd year of 3 year course.

Please Guide me Sir "
86,Shahab Siddiqui,Can we include this in resume for faang?
87,Sagacious information,"Sir, Durga's soft  Youtube channel is there, which teaches free and deep concepts is cover."
88,swati mule,Thank u very much sir ur very great 
89,Imran Sajid,"Hello sir this is Imran Sajid from pakistan.Sir I love the way you teach.
Can you please tell what are the other  methods of payment from pakistan for C and C++ payed course"
90,Satyam Gupta,"Great job sir .
C language maine aapse hi sikha hai."
91,msd fan,sir what about double droppers...many people say that double droppers wont get placements as no company will hire them ...sir is it true even if i devolope good coding skills in college...plz  reply sir...many people are demotivating me by saying u wont be able to get job...is it true despite of having good coding skills..plz bhaiya reply dena Sir...Btw sir i have learnt alot from u during my board exams practicals of Cs
92,Rajat Bali,"The only  thing I  like in this ""GAME "" oh sorry this matrix puzzle  is that we are giving input from arrow  keys"
93,sanjay mishra,Sir DSA (Data structure ) ka koi job oriented course ineuron par hai kya from basic to advance.
94,Rahul kurmi,"Sir Kya study me gap lene se study me govt jobs, private jobs ko koi effect hota hai koi problem aati hai please give me 100% real ans please....."
95,Yash Singh,sir c++ bhi kara do please...
96,adi shinde vlogs,55:43
97,Imran Sajid,Sir please tell me I am obsessed or this course.
98,Purvi Saroj,Bhaiya kya b.teach ec se Kar ke   ?      m.teach cs ke liye GAET cs se bhar sakte hai
99,Vivek Singh 1M,Sir C language online live paid class kb start ho rha hai???
