,commentor,comment
448,Zoya Naaz,At 5:45 I can relate...as I didn't give JEE exam...but... I can do it..!!
449,Ankur Singer,Yes sir.....from krishna google to rohit negi you did a phenomenal job
450,Devil Machine.,"Sir you are really great teacher‍ 
 Dil se respect  
Sir apse kuchh bhi pdh le sb samaj aata h
 Ap bahut easy se samjha dete ho "
451,Ashish Jha,Very motivational video. I love MySirG family ️
452,Sangam Kumar,Really inspiring video...️
453,Luv Official,MysirG why you have not launch the python full stack with job guarantee.. Bcoz ineuron job portal is beneficiary for job guarantee program only.. Will you be provide the job for this python full stack.
454,Vikash Kumar jaykar,Thank you so much sir today's I'm again motivated
455,Ravendra Singh,"""This conversation is very helpful for me""."
456,Faizan Mohammed,13:43 pure facts 
457,Misbha Ali,"no doubt ( my sir g all)  time best in programming journey 
Love From Pakistan
"
458,TricksWala,"from which video of yours i should start learning DSA + 1 language perfectly... i m in mca final year... but don't have deep knowledge of anything... and yes regarding DSA, i don't know anything... plzz suggest!"
459,Mahesh Meena,Very very congratulation rohit sir and thank you mysirg 
460,coding school,"Remember sir , After sometime I will also make a video with you .
Don't know that why I am so much glad and excited to meet you"
461,Priyanka Saraf,"there is a lot of negativity and distraction on YouTube. Everywhere everyone has a different solution and different path to show. I liked this content. I am really so confused about what really I should learn, and how should I start now I entered into 2nd year, and my first year went in confusion still I am stressed about how should I start which leads me to get into google or grab an international scholarship for master. dreams are bigger but confusion is making them shattered. I do not know which track, which language, and what things are required to get my dream come true. I appreciate this video."
462,Uday narayan Sharma,Congratulations 
463,Vikendra Sahare,Thanks Rohit Negi sir today you solved something in my life
464,Prabhakar Kumar,Mysirg is was a boon for me during college time.️️️
465,abhay,Just amazing
466,sanjeev kumar,Dear sir ! My NIMCET 2022 rank is AIR 854 without coaching. I was not able to buy test series or course. I have completed BCA in 2019 .can i get admission in any good college ?? What should I do please tell me sir 
467,Prakash Kumar,"Sir when will the job related coruse of c ,java, and Data Structures & Algorithms   online class start"
468,Awadh Technical,Congratulations 
469,Harsh Tripathi,Congratulations Rohit bhai
470,Coding by Er Arjun,Thank you sir for motvating me
471,MD IBRAHIM,Thank you so much sir for motivated
472,Mihir Kanoujiya,Sir aajkal YouTube pr hazaaro channels h padhne k lie lekin jo teacher h vo apne students ko basic se sath lekr chalta h and you are that teacher sir isliye apki videos itni year purani hone k bad bhi log aaj bhi dekh rhe h. Thank you so much sir 
473,Sandip Tiwari,Thank you so much Sir and Rohit Sir
474,Sohel Shaikh,Thank you so much sir 
475,VIKASH KUMAR,"Absolutely right bro.
Nd congratulations bro......"
476,Shivanshu Singh,Sir aap to technical wallah ban gaye hai..
477,Sandeep Kumar,"Sir aapse acche teacher programming field me mai nhi dekha hu....sir mai bahut time liya best teacher search krne me lekin mere gurudev aap mil gye mujhe.....sir love you ️
Hn sir aap Hindi me he padhao Hindi me feel aati h 
Jb aap bootcamp wale course me English me padhana start kiye mujhe lg he nhi reha tha ye mere saurabh sir h at that time I feel low but ab sab badhiya h️️️ Love you sir"
478,chanchal sharma,"Sir,aap seriously dry run k liye bolte h aur root strong kr rahe wo bhut important h thanks"
479,Jai Aswani,Full motivate kr diya....Mysirg channel se hi mene journey start kri thi... hamesha shukraguzaar rahunga sir ka....
480,satyam gupta,Today I am working in it sector from electrical background because of saurabh sir
481,Faisal Riaz Khan,My Sir is best for beginers...Thank you sir
482,chanchal sharma,Congratulations 
483,Aditya Bhatiya,Really great sir
484,THROWN_GAMING,SIR MAI SACH BATAUNGA MAI YAHI CHEEZ SIKHI KHI CHUP PADATE MAT JAU KAM PADO LEKIN SAMAJHAKE PADO AUR HAMESHA KHUDHKO CONFIDENT RAKHO THANK YOU SIR YE SESSION MERE LIYE TO BAHOT USEFUL RAHA 
485,machindra chavan,Thank You For Information
486,TTPS(Try To Problem Solved),Nice prodcast I am also Uttarakhand and cs student
487,Kajal Singh,Such a inspiration me Sir
488,ZERO to HIGHWAY ENGLISH,Sir I m none technical student .Mba completed please   can you tell me which language best for me . I want to learn to code   ...
489,Manish Sonvani, congratulations 
490,Amin Ali,My first like goes to you My Sir G
491,Vijay Rajput,Thanks for mysirg teams
492,Motivation Status,nice interview
493,Rahul,"Isne IIT se mtech kia hai, islie hua hai itna mst package, vrna 2cr pckage impossible hai"
494,Aman Kumar,13:44 shi bole bhaiya mai bhi aap hi se sikha hu basic in c language
495,Abhishek Kumar,Well done Rohit
496,SCARY GAMERZ,ye baat to hai sir ji is best
497,jivan,Nice video sir
498,Knowledge for Everyone,"My sir ji humble request to you  please reply me . Sir mera aapse question hai ki mai ek art side student tha maine b.a Kiya hua hai 
Aur 2010 pass out hu mai coding seekhna chahta hu aur aapke channel se maine suru kar diya hai kya mai Esme carrier bana sakta hu"
499,GR  song,"Hello sir ,need to talk to you regarding enrollment for the course."
500,Vishnu Mandal,DSA kon sa language me karna chahiye sir
501,Rajnikant Kumar,Thanks 
502,Kritesh Sinha,️️
503,Mars Tech_2171,"hlo sir, mera bca m 2 years ka gap h , kya ye future m problem karegi.
bca 3 ki jagah 5 saal m complete complete hua h , please response back"
504,Navin creation,Hii Sir mca ke liye koi best highest package and company details
505,bidyasagar mohapatra,️
506,Sandeep Vishwakarma,Great
507,satya prakash,Bhai sach che dil guru ko pranam kiya dhanyavad.
508,D. P. Vachhani,Thanks My sirG
509,Shivesh Jha,EK din mai bhi saurabh sir ke sath podcast karunga
510,Bhagvat Ghadge,Great
511,HACKLENTH999,Thank you  rhoit  bhiya
512,Nikita Kushwah,Sir it branch me bhi aacha package milta hai na ki cs me hi milta hai
513,lalit naresh,"Sir ji mein pgdca (post graduation diploma in computer application) kr raha hu, sir please mujhe guide kre taki m bhi achhi company m job kr sku. Please sir ispe ek video bna dijiye."
514,ANURAG TIWARI,Sir mujhe C programming language seekhna hai step by step koi course available hai please reply dijiye.....
515,Aaqil Rasool Wani,Big fan bro
516,Gurutellme,What is his profile he got selected for ?
517,MD ALAM,Good evening Sir
518,lakshay kamboj,Mysirg channel great
519,Success Achievers,"Sir I have completed BSC. Computer science. Considering this, can i get jobs like people which have completed graduation in IIT?"
520,thesadikkhatik,
521,sharp shooter,congratulations bhai ..mai bhi bca krra hun
522,Sakshi Upadhyay,
523,Harshit Barnwal,Sir aap Sandeep Maheshvari sir ke channel pe interview kyo nahi dete
524,Ajit Pawar,Thanks
525,ChemicalVala,"Kya aapke YouTube channel Mei Jo free content hai , usse languages achhe se Sikh sikhte hai Kya??????"
526,manjit,2 cr ₹ ya 2cr $ ...ye baat koi ni batata...job location k hisab se 2 cr ka valuation tay hota h.....kisi v video m is 2cr ko kisi ne bhi clear ni kiya h....
527,Krishna Creation,Agar jisne bhi Saurabh sir se coding ki starting ki hogi usse coding ki journey main bahut kam problem hogi.
528,Upanshu Sharma,Sir  MCA karne ke. Bad kitne ka packeg ho sakta he plise jaldi bataiyega
529,bhayiya,Sir mera graduation ke bad 8 year ka gap h kya mai mca kar sakta hun
530,Abhisek Gupta,"bhai ne India select kiya so aab 2cr nahi raha CTC, kam ho gaya hai...."
531,Harshit Barnwal,Please sir hmlogo ke liye
532,yash k,"So basically
There is one thing
Called
Purshasing power parity 
If he earning 2 crore 
In foreign
It is equivalent to those india earning 20 to 35 lakh"
533,CHOUDHARY SAHAB MUSIC,in hand kitna milta h  ? 
534,Faisal Riaz Khan,Love from Pakistan.
535,Sohel Shaikh,Sir g kya English important hai job keliy
536,🎶Music World 🎶,Sir Java padhe ya c++ please reply kariyega  c language Maine aapse pdh Li hai. Ab kaun sa padhe  ??
537,MR.NayantheGamer,Rohit Bhaiya aap konsa laptop use krte the
538,Rashid Jamal,i am 40 years old. i am working professional. Coding attracts me. Is there any future for me in coding
539,Uday narayan Sharma,Bhai mai bhi BCA ker rha hu
540,IIFAMOHDSHOAIB BLACKSMITH,sir bade package k lea gate nikalna jaruri h kya
541,suyash kumar sharma,Sir mai esbar collage me jane wala hu mai aapka kon sa course karu mujhe kuch acha karna hai sir please guide me sir 
542,Harsh Chauhan,"So unke liye ab fauj ak choti chij hai , or ye chote sapne hai"
543,Ajay Raut,Sir c++ ka batch kab chalu hoga
544,Gurukulsoft Technology,wow nice look
545,Rajnikant Kumar,Sir c language ham kaise sikhe
546,Ritesh Jana,He talks a lot but those are fully useless
547,Think Daily,ok
548,Tohid Shaik,Sirr Apka academy ka name kyy haii sir Muja b addmision Lana hai Apka academy mai plzz Hlp Karee maree
549,Amazon shopping store,Hekathone kya hota hai. ?
550,Chandan kumar,
551,Abhishek Chaudhary,Bhaii apna channel bana aur 2 Crore me se 3 lakh mujhe de de. Video edit kar dunga aur Thumbnail bhi bana dunga
552,natural beauty,Bhai iit ka tyri kha say keye thy aap saurabh sir btye ye
553,farmaan khan,sit mujhe esa kyu lg rha hai ye aapka hi beta hai dono ki sakal match ho rhi hai
554,Ritesh Jana,fully useless
555,P Mahaur,Ap hamare liye inspiration ho @Rohit Negi . me error dekh ke pagla jati hu copy paste ki vajah brain ne work krna ban kar diya
556,meta,you can help me
557,Shivam Chaudhary,Congratulations 
558,jatin kadiya,"Thanks, Sir ji
For better explanation of assignment problem.
Your explanation method never forget by us."
559,sajjad ali Sarwary,Sir international option rakhe Paid Courses ke liye Love from Pakistan
560,vg,Sir python batch m aap konsa portion pDhaynge COMPLETE YA ONLY PYTHON
561,anant patil,"assignment -12 star pattern Q,NO.-1000001,
                                                               10001,
                                                                 101,
                                                                    1,"
562,chandra shekhar,thanks sir
563,vg,Sir python batch m aap konsa portion pfhaynge
564,Shiva Jadiya,"write a program to make the last digit of a number stored in a variable as zero
Like (1234) then output is (1230) 

Plzz give me solve to these question anyone"
565,jivan,Assignment 13 last question rehgya mara samajh mai hi nahi aaya.
566,vicky agrawal,Sir aap JavaScript ka class lo na
567,Ashhar Nadim,"Assignment 13 last question, if else se ho jyga lkn menu driven to switch case,"
568,Aditya Gupta,"sir aap live lectures mein unnecessary baatein bohot karte ho, please lecture par stick raha kariye, mujhe bad me videos dekhne par bore feel hota hai aur video ko skip karte rehna padta hai"
569,Manish Sharma,Great Job sir. Thank you for your contributions in coding.
570,MD ALAM,"Congratulations
Sir G, I'm fresher [M.Sc(mathematics with Application in Computer Science)."
571,Tech Zig,Sir ji aap great h maine bhi programming aapko dekh kr hi sikh rha hoon .... One day I'll.....
572,Tausif Ali.,Great job sir️
573,Max,Sir u r great...️
574,Dev Gyan,Great Sir 
575,jivan,Nice 
576,SURAJ PATWAL,Very nice sir
577,Vandana Maurya,
578,Bittu Kumar,Superb sir
579,Nonstop CODING : CODE WITH ADITYA,Sir c language ka course tho nhi bhul gaye 
580,Anjit kumar Yadav,
581,Sk mehta,Love you sir
582,Md Aman Hassan,
583,NAMATO,Awaz chal gaya bich mein
584,Mohd Anas,"Improve your Mike Sir 
You are not audible"
585,Satwik Chauhan,@rohit Bhaiya aap kya kar rhe wha?
586,Mera Tera Maths,"sir please pre- requisite in your latest paid courses,  in previous courses you used to mention it."
587,Sourodeep Ganguly,Sir Data Structure and Algorithm using C wala video banayiye
588,Digital Notebook,These affordable courses done right can create the network effect in Ed tech
589,IT'S ASUR....,LOVE YOU SIR... 
590,pradeep kumar,Very nice
591,startup idea,I really sir  mere pass apki prashansha  krne liye koi sabh nhi... Wo bhi kam aapse sir bhut motive hua hu me 3rd year me aa gya jbse mene bootcamp join kiya hai jabse bhut acha confidence aa gya ki me kuch kr skta hu really sir Bas aapka ki dua Or God ki wish sath de  jisse me apne maa ppa ke sapne pure kr saku
592,Darkx YT,Lots of fun sir
593,A.G. Upadhyay,Sir मैंने bootcamp c++ का बैच join कर रखा है ऐसे मे fullstack वेबडेवलपर का कोर्स join करना ठीक रहेगा ?
594,Aviral Mishra,How good is atmosphere there 
595,PIYUSH,How to get to know about these hakathone earlier  ??
596,Ajay Raut,Sir c++ ka batch kab chalu hoga
597,Rajesh Mudi,Hackathon ke entry fees hai kya ??
598,Dibyojyoti Bhattacherjee,Sir IoT ka hackathon..
599,Satender Kumar,Java with data structures hai course
600,SS,sir main join hona chahta hun bootcamp s
601,Business Idea বাংলা,
602,abhishek parkhe,For c++ bootcamp start date is 2nd july but batch has already started
603,Abhishek Singh IT 01,sir chat box nahi dekh raha hai3
604,Harsh Sharma,"Bs gurudev kripa aur apne p bhrosa h, hm  bnege coder"
605,Shoaib Jhangvi,"سر۔!کل میں یوٹیوب پے ایک ویڈیو دیکھ رہاتھا جس میں وہ بھائی بغیر کوڈنگ کے ایپ بنانے کاطریقہ بتارہے تھے 
سوال یہ پیداہوتاہےکہ اگر بغیر کوڈنگ کے ایپ بن سکتی ہےتوکوڈنگ کے چکر میں پڑنے کی کیا ضرورت ہے۔۔۔۔"
606,Shivam Yadav,"Hello sir where is Rohit negi sir? When
You come with rohit negi."
607,Mahesh Nayak,hello sir influxdb
608,darshan,Indore
609,Mahesh Nayak,hello sir influxdb
610,jivan,"Assignment 6 program number 10
ये वाला सवाल करने में बहुत मज़ा आया था।️"
611,S♾️_30,Sir please stage 2 bhi start kijiye jaldi se 
612,Chandrasen Jadhav,Sir please start stage 2 asap  cant live without your lectures .you got unmatchable teaching skills. 
613,arpit,Sir please make the video on eligibility criteria like i score below 60 % due to  some personal reasons so can i go in IT sector or not possible(means end of carrier) ....... And if by chance i have 3 year experience so can i go in TCS or any other IT with below 60% 
614,Adarsh Gaming,Waiting stage 2
615,Rahul Bhosale,Sir please start stage 2
616,MasterG,Sir pls stage 2 lana 
617,Shivam Sharma,"Sir please please, stage 2....."
618,IT'S ASUR....,Sir plz stage 2
619,ashish kumar,Sir aap bhut achha pdhate h pr time bhut lete h ...
620,Shubham Agarwal,Sir c language se aage toh chalo like Dsa live or web development etc. Course live padhaao please
621,MD ALAM,"Sir G 
I'm serious."
622,Nonstop CODING : CODE WITH ADITYA,Sir c language complete nhi padhayage shayad 
623,jivan,Stage 2 start in 1 August.
624,ashish kumar,Aap chahe to pura c 15 hr me kra skte h
625,Dj Guddu Ataria No.1,S̊i̊r̊ s̊t̊åg̊e̊ 2 k̊åb̊ s̊t̊år̊t̊ h̊o̊g̊å
626,Ravi Gadhavi,Sir please make small videos
627,Kritika Pal,Hello sir
628,arpit,Sir please make the video on eligibility criteria like i score below 60 % due to  some personal reasons so can i go in IT sector or not possible(means end of carrier) ....... And if by chance i have 3 year experience so can i go in TCS or any other IT with below 60% 
629,arpit,Sir please make the video on eligibility criteria like i score below 60 % due to  some personal reasons so can i go in IT sector or not possible(means end of carrier) ....... And if by chance i have 3 year experience so can i go in TCS or any other IT with below 60% 
630,arpit,Sir please make the video on eligibility criteria like i score below 60 % due to  some personal reasons so can i go in IT sector or not possible(means end of carrier) ....... And if by chance i have 3 year experience so can i go in TCS or any other IT with below 60% 
631,Vaibhav Dhiman,Sir you are my inspiration
632,jivan,Nice 
633,arpit,Sir please make the video on eligibility criteria like i score below 60 % due to  some personal reasons so can i go in IT sector or not possible(means end of carrier) ....... And if by chance i have 3 year experience so can i go in TCS or any other IT with below 60% 
634,Anshuman P,Sir pls try to do online hackathon
635,Sadan Saifi,Sir plzz ineuron ki intership par bhi ek full video bnado
636,Sahil Kumar,Sir online hackathon kro kyoki ham itta dur kaise ayenge
637,sumit Kumar,Sirj ji bootcamp join ke liye aapka card ka code kaise kare? plz 
638,Divyesh Sakariya,Hackton kya he
639,Rahul Kumar,Sandeep maheswari se meet up karo sir
640,arpit,Sir please make the video on eligibility criteria like i score below 60 % due to  some personal reasons so can i go in IT sector or not possible(means end of carrier) ....... And if by chance i have 3 year experience so can i go in TCS or any other IT with below 60% 
641,Aryan yadav,Nice 
642,arpit,Sir please make the video on eligibility criteria like i score below 60 % due to  some personal reasons so can i go in IT sector or not possible(means end of carrier) ....... And if by chance i have 3 year experience so can i go in TCS or any other IT with below 60% 
643,arpit,Sir please make the video on eligibility criteria like i score below 60 % due to  some personal reasons so can i go in IT sector or not possible(means end of carrier) ....... And if by chance i have 3 year experience so can i go in TCS or any other IT with below 60% 
644,arpit,Sir please make the video on eligibility criteria like i score below 60 % due to  some personal reasons so can i go in IT sector or not possible(means end of carrier) ....... And if by chance i have 3 year experience so can i go in TCS or any other IT with below 60% 
645,arpit,Sir please make the video on eligibility criteria like i score below 60 % due to  some personal reasons so can i go in IT sector or not possible(means end of carrier) ....... And if by chance i have 3 year experience so can i go in TCS or any other IT with below 60% 
646,Muhammad Suleman,Thank You Sir G
647,Hemant kushwaha @123,Thank you sir G
648,Frag Fission,"Nice sir 
Plz aik project karwa dijia"
649,Manya Bansal,"Hlw can someone please send the solution of assignment 1 complete
I am learning the c language for the first time that's why i am facing so much of problems"
650,Aviral Mishra,Assignment 6 Q.n. 10 
651,PRADEEP PRADEEP KANAUJIYA,Your are great sir ji
652,Ankita,Good evening sir. I am one of your student in this course at ineuron.. I have a doubt regarding submission of assignment ..Hume assignment kaise upload krna hai sir programs k logic pen and paper Mein likh kar ya phir proper codes virtual studio code or code blocks mein likh kar? Please clear my doubt
653,Ram Das,assignment 7 question 8
654,Arqam Sarwar,Assignment 12 Q3.6 and Q3.7
655,Aviral Mishra,Assignment 6 Q.n 4 ya 3  mei se kisi ek ka method bata dijiye sir
656,Md Azharuddin,Least common multiple
657,Md Azharuddin,Least common factor
658,vaishnav Shinde,"12,24,36"
659,shabir malik,Sir c++ ka up dated courses kab aay ga on youtube..
660,sonu kumar,"Assignment 6
Q10 ha sir"
661,chirag matai,Assignment is not downloadable error is coming
662,Dinesh Kumar,"Two legends in one course,
It will be blockbuster
Glad to hear Navin Sir in Hindi"
663,machindra chavan,"Sir your pattern practice helped me lots.
Thank you from bottom of my heart."
664,Amey Patil,Is it requires prerequisite knowledge of Data structure and algorithm for this course ?
665,AdArSh rAi,sir kaunsa topic kaun sikhaayega ? like if u will teach django part  then i would like to join class cauze i like ur teaching style
666,Prince Choudhary,Sir I am a working professional.. I want to join this course but I will reach home by 8:30 so it's bit difficult to join online but I eagerly wants to learn this..
667,Udisha Bajpai,Thank you sir for this opportunity..nd I will definately join
668,Sagar kumar mishra,"Sir , 
After doing this course can I take job as a full stack web developer?"
669,Curious,Sir is this free or paid course? If paid how can I contact you for joining this course
670,REALISM💜💕,"Sir I have enrolled in c++ bootcamp nd in full stack web development..but my doubt is that in your preview video you nd reddy sir uttered that it's the full stack development course so html, css nd Javascript will also be taught to us but in description no html, css nd Javascript , nothing is written there ... why sir???"
671,THE MAN,"sir i have some basic knowledge of coding language, can beginners join this course?"
672,wasif,"Hi , I am a SharePoint developer in TCS with 1.6years of experience, want to switch to a product based e.g. Microsoft.
pls, give any suggestions.
I am earning not enough and I can not take scalar course as of now."
673,Shivam Pandey,"Sir, I want to join the classes how I can join please let me know."
674,Gk with Sangeeta,Sir please come with core Java
675,Syed Mohd Azam,Can you tell me this course is enough to make full stack web developer ready for job Or some basic kind of course
676,Vaishali Suyal,Sir what is the duration of this course?
677,Luv Official,How many projects you will cover in this course.. If possible name plz.. And please response in this..
678,Akash Tamrakar,Thankyou so much sir 
679,Shivam Patel,My sir g + Telusko = 
680,MD ASHRAF MOIN,Sir any coupon code for discount?
681,Vinay Singh,"Sir  I am waiting  this course long time.  This course is join profit 400 rs thanks sir ,  "
682,Akash Tamrakar,Sir i will join the course piz mention time duration and for beginners 
683,shakir hussain,Is it possible to make pendrive course? Now time management is issuing for me.
684,MANTOSH YADAV,Sir please confirm course duration?
685,Luv Official,"My sirG and telusko, if this is full stack then why you have not include DSA part in python/js..bcoz DSA is needed to crack good product companies..kindly revert.."
686,Smarty Editz,Great sir we ready now  
687,Aryan yadav,Nice 
688,Dubbing takling,thank you sir
689,Ankit Sinha,Sir g django me email verification bataya jayega kya??
690,Mohd Asif,Superb sir
691,𝓐𝓼𝓱𝓲𝓼,Sir classes will be live or recorded.
692,Rupesh Poonia,Kya sir es course k bad placements kese hogi ap thoda guide krdo sir your faithfully student 
693,anand Kumar,"Is this course for a beginner student which have basic knowledge of C language.
Sir please provide some more information about this course."
694,Satyam Kumar,Sir course duration kitna hoga
695,Tarun Kumar,"I want to join this course.
I want to know 
Course mei complete react pdhaayi jaayegai?
And which topic is covered by u?"
696,vm,"Sir maine aapka job ready bootcamp (c++ DSA)  liya h, to kya mai ye bhi course le lu ya phir phle c++ wala complete kr k tb lu .. pls sir reply me "
697,Sonu Yadav,What will be duration of this course.
698,technical Siva jee,I join live class but fail in attending class daily what do please tell me
699,Naseem Shah Official,Web 3.0/   block chain ka series lain Sir
700,Rupesh Poonia,Hello sir g ye cource kitne time tak complete hoga
701,Nonstop CODING : CODE WITH ADITYA,Sir abhi may c c++ bootcamp course kar raha hu .....tho web development using django course abhi nhi le payuga tho ye course agli baar kaab aayaga???
702,Lakshaya Goel,What will be the course duration of this course
703,LEARN PROGRAMMING,Sir please tell me coupon code sir
704,pankaj navale,Amazing ️ but What is course duration sir?
705,Mohammed Quamaruddin,Sir can you tell me what will be duration of this.
706,Ggm Superfast,How many months course?
707,S♾️_30,Sir c ka community course Kab khatam hoga tentative date?
708,Negi 0727,Sir which course i have to join....c++ bootcamp or this web development or both courses.....i have little knowledge of programming..please suggest sir me any course??
709,gyan coaching centre,Please mention course duration
710,Gitanjali Gaikwad,What will be duration of course?
711,Tameer Abro,I'm from Pakistan how can I join? And what's the payment method for me ??
712,Youtube Talks,Nice thumbnail sir 
713,Sneha S Jaiswal,I want to join this course
714,Akash Tamrakar,Sir time duration kya h pure course ka piz mention 
715,RANJAN KUMAR,Please reply sir .......sir kya isme hum basic of python bhi sikh payenge...
716,Malik Islam,"Sir after completion, are we able to do freelancing, work from home.."
717,Yash Lohar,Course duration please
718,Rupesh Poonia,Sir g Mera gape 3 saal Ka ho gya h after diploma in CSE or Mene c complete ki h sir sari problems bhi solve ki h but koi job nhi mil pa rhi gap ki vje se
719,Sahil Kaloshiya,️
720,M Patel,Kitne time tak chalega?
721,𝓐𝓼𝓱𝓲𝓼,Course duration
722,Mohd Asif,Nyc
723,Taimour BH,Sir I'm from Pakistan...can I join this course???
724,MK tutorial,Sir I am joined this course all redy
725,Dubbing takling,DSA  bhi hoga kya
726,BUG 🪲,Java ka batch kab ayega
727,kambas cvk,Sir python kaun sikhayega
728,ajay kumar,"Sir i have also joind c and c++ bootcamp ,ll it be easy to run both course web dev and jobready bootcamp ??"
729,Ram Kumar,Course time kitana h
730,Ankit Kumar,Sir es course ka liya phale se python aana compulsory h kya
731,Narasimhulu Dupathi,What is the course duration
732,Pooja,Aap karvao na sir full stack developer ka course please
733,gaurav kumar,Sir hum other language nahi jante hai to kya hum python sikh sakte hair please bataye
734,yes boss,What is the duration of the course
735,DEEPAK SINGH,Any coupon code for this course please
736,Akash Singh,Sir koi aisa bootcamp h jo placement bhi karwate ho???
737,MD Danish raza,But sir ye sab sikh ke job kaha dhudhege placement ka support rahna chaye
738,Akash chandurkar,Sir ye non cs baground vale kar sakate he ky because muze programing Kahi ata
739,technical Siva jee,sir Kya koi language pahle se ana chahiye
740,Mr.XenonD,Sir How can i join from Nepal???
741,Anil Anil kushwaha,Sir ham 0 se sikhana chahate hai
742,GOVIND NARAYAN SINGH,Sir main new hu kya main apse enroll hone ke phle apse call me bat kr skta hu kya sir plz ?
743,RANJAN KUMAR,Sir kya yeh course humko basic se shikhayega
744,ashwani kumar,YouTube pe sb free bikta h 
745,Sign no1,A job ready bootcamp c and c++ me Mai admission liya hu sir to mujhe kya ye course kar na jaru ri he sir
746,Raj,Sir isme python language pura pdhyega na...ki uska alga se course join krna padega
747,MD Danish raza,Who can join this course mechanical wale ker sakte hai 0 coding knowledge hai to ker sakta hu course ye
748,Ritik Goyal,It's stream on YouTube as well
749,ajay kumar,Sir course ka duration kya hoga and  please or thoda detail video banaeye.
750,technical Siva jee,Kya pahle se koi programming language ani chahiye
751,kambas cvk,"Sir telusko sir kya kya sikhayenge aur sir aap kya kya sikhaoge  
Sir please is par ek video bna dijiye please ki kon kon se topic kaun padhayga"
752,krushna rudrawar,how many month this course are goes ??
753,Ritesh Jana,Not interested
754,Ritesh Jana,Not interested 
755,Parth garg,"Good afternoon sir...
Sir I want to know my submitting the assignment at the site of this programming classes so will I be able to get certificate for this course or it is an practice course only with no certificate?"
756,Naveen Kumar,Sir maine bahut koshish ki programming sikhne ke liye per mai shikh nhi paya per mai jab se aapki live class karne laga hu to mai apne aapko bahut improve aaya hai me paya hu ab mujhe lag raha hai programming shikh lunga.  Sir aap great ho I am best teacher or god bhi ho....I am very happy sir
757,Shiva Jadiya,"write a program to make the last digit of a number stored in a variable as zero
Like (1234) then output is (1230) 

Plzz give me solve to these question anyone"
758,Debasish Kumar,"Sir I can't find assignment 7 
There is assignment 6 in the place of assignment 7"
759,Nishant Ruhil,sir bca in cloud computing kya thik rahega in future
760,ATANU SANTRA,Sir java core  live class fir kab hoge?? I am waiting for next season (Java core live class)
761,Ajeet,"Sir kitne din ka access rahega 
Web development ka"
762,hit hai sarkar 31,Assignment 13 all questions
763,Yash Patel,sir please start array
764,Ratnesh  tiwari,Certificate download nhi ho rha hai???
765,vg,sir python batch m html css show nhi  hora hoga ya nahi
766,Sanjay Tiwari,D
767,LEARN PROGRAMMING,"Sir dsa  through c ki new batch kab aayegi mujhe join krna hai sir ..
Mera c language ka batch aaj hi end hua batch RD, please sir reply me"
768,GAUTAM SHAW,"sir not able to enroll for the course talked with the executive too 
wgile proceding to check out its showing email not verified and i am also not getting the link in my email id"
769,Siddharth Raj,Waiting for class a also enrolled in job ready course .... One of the best teacher ever I fall in love in coding 
770,sanjay singh patel,Sir ur efforts is priceless..my journey of coding started by ur c- language ... I watched ur earlier c-classes now I'm doing this new version...and i found alot amazing content in this... I don't hv words to say thanks... U r my favourite ..
771,Dinesh Kumar,"I always excited jab kabhi bhi aapka live session aata hai, I’m feeling very energetic during to see your any video.
I’m so happy, you launched another amazing course for us.
I’m just waiting for your Java core batch on your website.
Hope, it will be come soon."
772,Ajajul Haque,"I am clearly understand and enjoy your teaching techniques or methods .
You are the great for me "
773,Neha Anand,"Sir, Happy Guru Purnima. 

Humein padhai me support karne ke liye aur hum mein learning ki desire develop karne ke liye aapka bohot bohot dhanyavad."
774,_little_master,"Sir, please solve the questions which have multiple algo's to solve, then relate that with which is more efficient like your course of - logic building with C"
775,012 Abu Bakar,"plzz bring c++ crash course batch as like C lang.
l've to revice my c++ concept in short time live classes as u taken C kang classes last month bcz no one can explain better than you.."
776,Antima Solanki,"I Sault you and respect you jo itna hamare liye hardwork


thank you sir "
777,TRADER__30,SIR I WANT TO LEARN C++ FROM YOU BUT ANY LATEST COURSE BY YOU  PLEASE REPLY ME
778,Pawan kumar,Sir aap bhut achhe trike se study karvate hoo????
779,jivan,Please Assignment 7 Question 10.
780,RAKESH ROY,"Sir mai boot comp lunga, per class already run hai, doubt handily kaise hoga"
781,Tapasya Rathore,Sir mujhe v  ek question me doubt h
782,Kejriwal Fans,"Sir sign up nehi ho raha hei, kya karu "
783,Sandeep Chaurasia,hello sir
784,Ayush Nathani,"Sir mujhe ek question puchhna hai star pattern se related but wo iss course ke Assignment me se nahi hai
1
1 1
1 2 1
1 3 3 1
1 4 6 4 1
1 5 10 10 5 1

sir aap please iska solution bata denge please??"
785,Ashok Prajapat,Assignment 8 ka 9 question
786,Rohini singh,"Your teaching method is awesome sir. you make our programming easy to use. I want to suggest it to everyone who is a beginner in the engineering field. that students must watch at least one time Saurabh sir's classes. after this, you will realize how to start programming on a basis of the concept The most important thing is ""DRY RUN"" is that weapon that will help to solve the most difficult program easily. my personal opinion to every student. my favorite teacher in the coding field is ""Saurabh Shukla Sir""."
787,Saurabh Shukla,"Sir you are the best  LOVE YOU SIR. You are God to me ️. आपके कारण मुझे खुद पर भरोसा हो गया है कि मैं भी coding कर सकता हूं। Sir आपका 3 step rule programing problems solve करने का सबसे best तरीका है।
THANKU SO MUCH ️"
