,title,thumbnail,video_link,views,likes,no_comments
31,Javascript Marathon | Conversion Confusion,https://i.ytimg.com/vi/ZdfPSolb1fs/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCrVsK3hesl7-yeCq-GGmXaLtQbNw,https://www.youtube.com/watch?v=ZdfPSolb1fs,7266,593,49
32,Javascript Marathon | Symbols and Global Objects,https://i.ytimg.com/vi/PFrOxB5NyJw/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDLiNtx1kaYlU_lZ1rPKj44d5DLpg,https://www.youtube.com/watch?v=PFrOxB5NyJw,9827,528,26
33,Javascript Marathon | Strings and Regex,https://i.ytimg.com/vi/Yz1CsZVS6FQ/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAwYDvZhxoOKEqCwpYj8SwkITyWiA,https://www.youtube.com/watch?v=Yz1CsZVS6FQ,11534,730,23
34,Hackathon by iNeuron | Official Partner JetBrains | Technology Partner Touchlab,https://i.ytimg.com/vi/c_x9izckxBk/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCQzZJFOlBwC6PrAlrEf5zqdav0qg,https://www.youtube.com/watch?v=c_x9izckxBk,6490,225,5
35,Live hackathon with jetbrains,https://i.ytimg.com/vi/KaND-BQ62II/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBkhftxz4jksxRd25vT1efdEnwu6g,https://www.youtube.com/watch?v=KaND-BQ62II,5528,119,1
36,Hackathon with jetbrains,https://i.ytimg.com/vi/4TETGIyvfS4/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCCUYr3EI1dm3ui4cYYYCMhZyqbfg,https://www.youtube.com/watch?v=4TETGIyvfS4,7161,231,9
37,Javascript Marathon | Mystery of numbers,https://i.ytimg.com/vi/g-0k8syANzI/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLApgDEQNIBDGeqsx84EXl0QcdDlbg,https://www.youtube.com/watch?v=g-0k8syANzI,15016,890,32
38,Campus Tech Leader | 10K INR stipend,https://i.ytimg.com/vi/5munbjM0WEU/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA0RE1MNGh0zoF7-05AwUPTYPV_Sg,https://www.youtube.com/watch?v=5munbjM0WEU,8145,621,19
39,Javascript Marathon - Day 1 | Introduction and lexical structure,https://i.ytimg.com/vi/-1rEsrEau7I/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCVLGMpQitrAivoa0KQAM7YZaUsAg,https://www.youtube.com/watch?v=-1rEsrEau7I,52090,3256,89
40,Javascript marathon | Live classes on youtube,https://i.ytimg.com/vi/_gg5_gFP0gQ/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB_pqFjeltW5pxfD9DfqopMFBZc5Q,https://www.youtube.com/watch?v=_gg5_gFP0gQ,16974,1234,83
41,Jetbrains Hackathon is here | Cash prizes,https://i.ytimg.com/vi/F-mzvrYOtP4/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAey1HsG6sarFXD6UGKN7q2x75f4Q,https://www.youtube.com/watch?v=F-mzvrYOtP4,7212,396,29
42,That’s how we roll at Hackathon @iNeuron Intelligence,https://i.ytimg.com/vi/b595GUmBOQ4/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBcJi86uBSrKhXvo1Ku2-TUkqTBGw,https://www.youtube.com/watch?v=b595GUmBOQ4,6584,194,7
43,Cross-platform mobile development with Kotlin,https://i.ytimg.com/vi/jwABH7Eoa-Y/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAtYErJ0vHRrGFaRim2onnz52bNvg,https://www.youtube.com/watch?v=jwABH7Eoa-Y,7719,376,7
44,Hackathon result live | @ineuron | @github,https://i.ytimg.com/vi/d23I96P22BA/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB5J_SdI-gefK3YtivTG-jsp02-kw,https://www.youtube.com/watch?v=d23I96P22BA,41388,1029,20
45,Hackathon live @ineuron in collaboration with @github,https://i.ytimg.com/vi/CPwImk-t54I/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCR3gxWKl4K5yT1tCp9OvDVAjskbw,https://www.youtube.com/watch?v=CPwImk-t54I,50797,1770,33
46,Canon EOS R5C unboxing | 8K,https://i.ytimg.com/vi/_8S0b9HhI2Y/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCDVUKdAcc__aw6hHzEsvAT5qWRlw,https://www.youtube.com/watch?v=_8S0b9HhI2Y,6466,206,32
47,Meet Co-Founder of Frontegg | Aviad Mizrachi,https://i.ytimg.com/vi/mShc1lOYXvU/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCXGcyCrOclvkyG_3TljG2B2Cnt3A,https://www.youtube.com/watch?v=mShc1lOYXvU,4506,244,4
48,Easiest User Social login with Frontegg and react,https://i.ytimg.com/vi/kt9Zh1uz63o/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDHcuftI9mB0_1PONqNwJcJjv6uuw,https://www.youtube.com/watch?v=kt9Zh1uz63o,7426,331,26
49,An experimental live | 4K,https://i.ytimg.com/vi/mobkkYXRx3g/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCZx62WfiJanp0QsWWph4njgAKvQw,https://www.youtube.com/watch?v=mobkkYXRx3g,9655,669,35
