,title,thumbnail,video_link,views,likes,no_comments
35,Opportunity For Web3 Developers | BNB Chain,https://i.ytimg.com/vi/Mt5x8aR_Xec/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAocshufIvIEYM-dsS4GHfsaYsCoQ,https://www.youtube.com/watch?v=Mt5x8aR_Xec,33425,291,13
36,Java Live Session | Interface and Packages,https://i.ytimg.com/vi/jA2Hyi2VLME/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAOd0TjVFRcaqS_k6kA-OWE2Dw7cA,https://www.youtube.com/watch?v=jA2Hyi2VLME,7806,338,8
37,"Java Live Session | Method Overloading, Final",https://i.ytimg.com/vi/Bo3M0QXirSY/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBfSJN-LquPcQva7RAhoa8c9VHPuQ,https://www.youtube.com/watch?v=Bo3M0QXirSY,9543,332,5
38,SubQuery Network Event Transfer,https://i.ytimg.com/vi/jq4hI_JbJRo/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD7SztEh7SsUvPUVRLLJN1BX8HS-Q,https://www.youtube.com/watch?v=jq4hI_JbJRo,1541,33,4
39,Java Live Session | Inheritance and Polymorphism,https://i.ytimg.com/vi/og3AyqD5J_g/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLABbyPjTzwNtm5fy-iZhQvK2tS2QA,https://www.youtube.com/watch?v=og3AyqD5J_g,10767,450,11
40,Java Live Session | Static Keyword and Inheritance,https://i.ytimg.com/vi/ziWA3MLlook/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDdUh4wSP1pz77TkKPmMJb_HY69HQ,https://www.youtube.com/watch?v=ziWA3MLlook,12506,594,11
41,SubQuery Network Participants,https://i.ytimg.com/vi/zMTYEWJZWwI/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCXFNHnPYpMI8RPM52LCsNL9LB0nw,https://www.youtube.com/watch?v=zMTYEWJZWwI,1245,47,1
42,Hackathon 3.0 winners,https://i.ytimg.com/vi/Zvv3v1_DkzE/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB7DoRsaQnvSFcpmzGZfA44ssENuQ,https://www.youtube.com/watch?v=Zvv3v1_DkzE,6723,137,7
43,Fun Quiz at 4am,https://i.ytimg.com/vi/_caQMy965rs/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDdN9At4FP33kXjpC8uQruOcy1NXg,https://www.youtube.com/watch?v=_caQMy965rs,4144,86,1
44,Live Quiz @Ineuron Hackathon 3.0,https://i.ytimg.com/vi/CHxpplpcIWE/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCiNmFor8BdoXkTjES9fQTWtfHp8g,https://www.youtube.com/watch?v=CHxpplpcIWE,8323,189,3
45,Jobathon + Hackathon @ineuron,https://i.ytimg.com/vi/TxKnV7_WnVE/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAejL5XeIMJdseNRnS-7dCDbSaeSw,https://www.youtube.com/watch?v=TxKnV7_WnVE,18600,883,14
46,Full Stack Blockchain Course | Affordable Price,https://i.ytimg.com/vi/GDdigOQ4qOY/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB2BETriZrLeCfT2ufRm8KBevBNqA,https://www.youtube.com/watch?v=GDdigOQ4qOY,36667,494,59
47,Java Live Session | Constructor and Encapsulation,https://i.ytimg.com/vi/s72FvmjrTw4/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCa2aK-fIx8V4WbLZnyTITJpA6vtA,https://www.youtube.com/watch?v=s72FvmjrTw4,14326,769,17
48,SubQuery Project publish on SubQuery Network,https://i.ytimg.com/vi/yit1hecSfJE/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCuQru6_dy99vmRqfDhIC7X5nDpIQ,https://www.youtube.com/watch?v=yit1hecSfJE,1233,32,4
49,Hackathon 3.0 in collab with MuSigma | AI/ML,https://i.ytimg.com/vi/Yrl2oHO1Ywk/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDtZpQdRli38-uoWn-wWM6olQOfoA,https://www.youtube.com/watch?v=Yrl2oHO1Ywk,3459,123,4
